,song,artist,date,explicit,uri_cancion,popularity,ironhacker,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
617,Starboy,The Weeknd,2016-11-25,True,spotify:track:7MXVkk9YMctZqd1Srtv4MB,94,miguel.1962.mas,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,4tZwfgrHOc3mvqYlEYSvVi,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,audio_features,7MXVkk9YMctZqd1Srtv4MB,spotify:track:7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,230453,4
617,Starboy,Daft Punk,2016-11-25,True,spotify:track:7MXVkk9YMctZqd1Srtv4MB,94,miguel.1962.mas,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,1Xyo4u8uXC1ZmMpatF05PJ,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,audio_features,7MXVkk9YMctZqd1Srtv4MB,spotify:track:7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,230453,4
617,Starboy,Daft Punk,2016-11-25,True,spotify:track:7MXVkk9YMctZqd1Srtv4MB,94,miguel.1962.mas,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,4tZwfgrHOc3mvqYlEYSvVi,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,audio_features,7MXVkk9YMctZqd1Srtv4MB,spotify:track:7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,230453,4
618,I Don't Believe In Love,The School,2009-10-16,False,spotify:track:3V6m1lxtXzSO9GeooXqf4x,11,miguel.1962.mas,https://open.spotify.com/track/3V6m1lxtXzSO9GeooXqf4x,1C4F7PHDaEkp5ZL1rkkmrE,0.565,0.663,2,-7.142,1,0.0287,0.398,0.0,0.126,0.245,135.008,audio_features,3V6m1lxtXzSO9GeooXqf4x,spotify:track:3V6m1lxtXzSO9GeooXqf4x,https://api.spotify.com/v1/tracks/3V6m1lxtXzSO9GeooXqf4x,https://api.spotify.com/v1/audio-analysis/3V6m1lxtXzSO9GeooXqf4x,232840,4
619,Eye in the Sky,James Farrelli,2016-11-25,False,spotify:track:3rQ0OioSaOi9lB5TVekgL3,41,miguel.1962.mas,https://open.spotify.com/track/3rQ0OioSaOi9lB5TVekgL3,4KrX2lMNXFQrzpkZnDDJTg,0.635,0.243,2,-13.435,1,0.0297,0.626,0.000117,0.109,0.14,109.922,audio_features,3rQ0OioSaOi9lB5TVekgL3,spotify:track:3rQ0OioSaOi9lB5TVekgL3,https://api.spotify.com/v1/tracks/3rQ0OioSaOi9lB5TVekgL3,https://api.spotify.com/v1/audio-analysis/3rQ0OioSaOi9lB5TVekgL3,223887,4
619,Eye in the Sky,James Farrelli,2016-11-25,False,spotify:track:3rQ0OioSaOi9lB5TVekgL3,41,miguel.1962.mas,https://open.spotify.com/track/3rQ0OioSaOi9lB5TVekgL3,4DpQLwz0jhUU7wuT9phTlD,0.635,0.243,2,-13.435,1,0.0297,0.626,0.000117,0.109,0.14,109.922,audio_features,3rQ0OioSaOi9lB5TVekgL3,spotify:track:3rQ0OioSaOi9lB5TVekgL3,https://api.spotify.com/v1/tracks/3rQ0OioSaOi9lB5TVekgL3,https://api.spotify.com/v1/audio-analysis/3rQ0OioSaOi9lB5TVekgL3,223887,4
619,Eye in the Sky,Sarah Menescal,2016-11-25,False,spotify:track:3rQ0OioSaOi9lB5TVekgL3,41,miguel.1962.mas,https://open.spotify.com/track/3rQ0OioSaOi9lB5TVekgL3,4KrX2lMNXFQrzpkZnDDJTg,0.635,0.243,2,-13.435,1,0.0297,0.626,0.000117,0.109,0.14,109.922,audio_features,3rQ0OioSaOi9lB5TVekgL3,spotify:track:3rQ0OioSaOi9lB5TVekgL3,https://api.spotify.com/v1/tracks/3rQ0OioSaOi9lB5TVekgL3,https://api.spotify.com/v1/audio-analysis/3rQ0OioSaOi9lB5TVekgL3,223887,4
619,Eye in the Sky,Sarah Menescal,2016-11-25,False,spotify:track:3rQ0OioSaOi9lB5TVekgL3,41,miguel.1962.mas,https://open.spotify.com/track/3rQ0OioSaOi9lB5TVekgL3,4DpQLwz0jhUU7wuT9phTlD,0.635,0.243,2,-13.435,1,0.0297,0.626,0.000117,0.109,0.14,109.922,audio_features,3rQ0OioSaOi9lB5TVekgL3,spotify:track:3rQ0OioSaOi9lB5TVekgL3,https://api.spotify.com/v1/tracks/3rQ0OioSaOi9lB5TVekgL3,https://api.spotify.com/v1/audio-analysis/3rQ0OioSaOi9lB5TVekgL3,223887,4
620,Drive On,Pajaro Sunrise,2019-03-01,False,spotify:track:0Ue7of6Ps26cHWanbTJZPd,35,miguel.1962.mas,https://open.spotify.com/track/0Ue7of6Ps26cHWanbTJZPd,32QlIuGzOsKVaQzQrSGOPq,0.612,0.607,9,-8.258,1,0.0377,0.405,0.000427,0.0986,0.362,75.035,audio_features,0Ue7of6Ps26cHWanbTJZPd,spotify:track:0Ue7of6Ps26cHWanbTJZPd,https://api.spotify.com/v1/tracks/0Ue7of6Ps26cHWanbTJZPd,https://api.spotify.com/v1/audio-analysis/0Ue7of6Ps26cHWanbTJZPd,251494,4
621,(Feels Like) Heaven,Fiction Factory,1984-05-15,False,spotify:track:41Laec0pItedzpw2D8HWYp,61,miguel.1962.mas,https://open.spotify.com/track/41Laec0pItedzpw2D8HWYp,6T6T5RCps6bHzTSDq8pyFj,0.541,0.822,3,-10.978,1,0.049,0.214,0.00314,0.0521,0.719,116.659,audio_features,41Laec0pItedzpw2D8HWYp,spotify:track:41Laec0pItedzpw2D8HWYp,https://api.spotify.com/v1/tracks/41Laec0pItedzpw2D8HWYp,https://api.spotify.com/v1/audio-analysis/41Laec0pItedzpw2D8HWYp,213960,4
