,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
12,Forever Young - 2019 Remaster,Alphaville,1984,False,spotify:track:6XHNIbru8xGohLzHNgxQvF,71,12177422298,https://open.spotify.com/track/6XHNIbru8xGohLzHNgxQvF,0xliTEbFfy5HQHvsTknTkX,0.483,0.471,9,-9.711,0,0.0284,0.397,0.000336,0.331,0.291,137.012,audio_features,6XHNIbru8xGohLzHNgxQvF,spotify:track:6XHNIbru8xGohLzHNgxQvF,https://api.spotify.com/v1/tracks/6XHNIbru8xGohLzHNgxQvF,https://api.spotify.com/v1/audio-analysis/6XHNIbru8xGohLzHNgxQvF,226000,4
13,Your Love,The Outfield,1985-06-29,False,spotify:track:4oDZ5L8izBals6jKBJDBcX,51,12177422298,https://open.spotify.com/track/4oDZ5L8izBals6jKBJDBcX,1zxDewzd2j1ZdSBGaYcr0y,0.579,0.654,1,-12.421,0,0.0553,0.121,3.62e-06,0.0673,0.616,129.537,audio_features,4oDZ5L8izBals6jKBJDBcX,spotify:track:4oDZ5L8izBals6jKBJDBcX,https://api.spotify.com/v1/tracks/4oDZ5L8izBals6jKBJDBcX,https://api.spotify.com/v1/audio-analysis/4oDZ5L8izBals6jKBJDBcX,216467,4
14,Who Can It Be Now?,Men At Work,2000,False,spotify:track:0DnA2DyUwy0W4xMYtRxocL,55,12177422298,https://open.spotify.com/track/0DnA2DyUwy0W4xMYtRxocL,0f3EsoviYnRKTkmayI3cux,0.81,0.716,4,-7.392,1,0.0402,0.0184,1.96e-05,0.301,0.965,128.528,audio_features,0DnA2DyUwy0W4xMYtRxocL,spotify:track:0DnA2DyUwy0W4xMYtRxocL,https://api.spotify.com/v1/tracks/0DnA2DyUwy0W4xMYtRxocL,https://api.spotify.com/v1/audio-analysis/0DnA2DyUwy0W4xMYtRxocL,200293,4
15,Wake Me Up Before You Go-Go,Wham!,1984-10-23,False,spotify:track:0ikz6tENMONtK6qGkOrU3c,81,12177422298,https://open.spotify.com/track/0ikz6tENMONtK6qGkOrU3c,5lpH0xAS4fVfLkACg9DAuM,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,audio_features,0ikz6tENMONtK6qGkOrU3c,spotify:track:0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/audio-analysis/0ikz6tENMONtK6qGkOrU3c,231333,4
16,Eye of the Tiger,Survivor,1982,False,spotify:track:2HHtWyy5CgaQbC7XSoOb0e,77,12177422298,https://open.spotify.com/track/2HHtWyy5CgaQbC7XSoOb0e,26bcq2nyj5GB7uRr558iQg,0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,audio_features,2HHtWyy5CgaQbC7XSoOb0e,spotify:track:2HHtWyy5CgaQbC7XSoOb0e,https://api.spotify.com/v1/tracks/2HHtWyy5CgaQbC7XSoOb0e,https://api.spotify.com/v1/audio-analysis/2HHtWyy5CgaQbC7XSoOb0e,243773,4
17,Wind Of Change,Scorpions,1990-01-01,False,spotify:track:3ovjw5HZZv43SxTwApooCM,81,12177422298,https://open.spotify.com/track/3ovjw5HZZv43SxTwApooCM,27T030eWyCQRmDyuvr1kxY,0.452,0.524,0,-10.108,1,0.0351,0.315,0.0,0.103,0.246,151.505,audio_features,3ovjw5HZZv43SxTwApooCM,spotify:track:3ovjw5HZZv43SxTwApooCM,https://api.spotify.com/v1/tracks/3ovjw5HZZv43SxTwApooCM,https://api.spotify.com/v1/audio-analysis/3ovjw5HZZv43SxTwApooCM,312360,4
18,Time After Time,Cyndi Lauper,1983-10-14,False,spotify:track:7o9uu2GDtVDr9nsR7ZRN73,78,12177422298,https://open.spotify.com/track/7o9uu2GDtVDr9nsR7ZRN73,2BTZIqw0ntH9MvilQ3ewNY,0.726,0.449,0,-9.206,1,0.0286,0.487,1.34e-06,0.0824,0.294,130.388,audio_features,7o9uu2GDtVDr9nsR7ZRN73,spotify:track:7o9uu2GDtVDr9nsR7ZRN73,https://api.spotify.com/v1/tracks/7o9uu2GDtVDr9nsR7ZRN73,https://api.spotify.com/v1/audio-analysis/7o9uu2GDtVDr9nsR7ZRN73,241333,4
19,Billie Jean,Michael Jackson,2008-02-08,False,spotify:track:5ChkMS8OtdzJeqyybCc9R5,82,12177422298,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5,3fMbdgg4jU18AjLCKBhRSm,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,audio_features,5ChkMS8OtdzJeqyybCc9R5,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827,4
20,Everybody Wants To Rule The World,Tears For Fears,1985-02-25,False,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,88,12177422298,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE,4bthk9UfsYUYdcFyqxmSUU,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,audio_features,4RvWPyQ5RL0ao9LPZeSouE,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/tracks/4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/audio-analysis/4RvWPyQ5RL0ao9LPZeSouE,251489,4
21,(I Just) Died In Your Arms,Cutting Crew,1986-01-01,False,spotify:track:4ByEFOBuLXpCqvO1kw8Wdm,78,12177422298,https://open.spotify.com/track/4ByEFOBuLXpCqvO1kw8Wdm,3cniTumSiUysiPWXapGx1i,0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,124.945,audio_features,4ByEFOBuLXpCqvO1kw8Wdm,spotify:track:4ByEFOBuLXpCqvO1kw8Wdm,https://api.spotify.com/v1/tracks/4ByEFOBuLXpCqvO1kw8Wdm,https://api.spotify.com/v1/audio-analysis/4ByEFOBuLXpCqvO1kw8Wdm,280400,4
22,True - Single Edit,Spandau Ballet,2008-04-25,False,spotify:track:0CsM8VGDi38kusMv3pxyj1,71,12177422298,https://open.spotify.com/track/0CsM8VGDi38kusMv3pxyj1,2urZrEdsq72kx0UzfYN8Yv,0.742,0.533,0,-9.098,1,0.0288,0.459,0.148,0.064,0.391,97.395,audio_features,0CsM8VGDi38kusMv3pxyj1,spotify:track:0CsM8VGDi38kusMv3pxyj1,https://api.spotify.com/v1/tracks/0CsM8VGDi38kusMv3pxyj1,https://api.spotify.com/v1/audio-analysis/0CsM8VGDi38kusMv3pxyj1,329147,4
23,Down Under,Men At Work,2000,False,spotify:track:7jTKLKs3NDmDnJHan5M2A0,57,12177422298,https://open.spotify.com/track/7jTKLKs3NDmDnJHan5M2A0,0f3EsoviYnRKTkmayI3cux,0.746,0.683,11,-7.416,0,0.0281,0.0521,0.0169,0.0466,0.815,107.314,audio_features,7jTKLKs3NDmDnJHan5M2A0,spotify:track:7jTKLKs3NDmDnJHan5M2A0,https://api.spotify.com/v1/tracks/7jTKLKs3NDmDnJHan5M2A0,https://api.spotify.com/v1/audio-analysis/7jTKLKs3NDmDnJHan5M2A0,223040,4
24,Jump - 2015 Remaster,Van Halen,1984-01-04,False,spotify:track:7N3PAbqfTjSEU1edb2tY8j,80,12177422298,https://open.spotify.com/track/7N3PAbqfTjSEU1edb2tY8j,2cnMpRsOVqtPMfq7YiFE6K,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,audio_features,7N3PAbqfTjSEU1edb2tY8j,spotify:track:7N3PAbqfTjSEU1edb2tY8j,https://api.spotify.com/v1/tracks/7N3PAbqfTjSEU1edb2tY8j,https://api.spotify.com/v1/audio-analysis/7N3PAbqfTjSEU1edb2tY8j,241600,4
25,What A Feeling,Irene Cara,2007-01-01,False,spotify:track:0aAR5HogGoT68EWFbyRFqx,72,12177422298,https://open.spotify.com/track/0aAR5HogGoT68EWFbyRFqx,3oZa8Xs6IjlIUGLAhVyK4G,0.532,0.729,10,-6.84,1,0.0474,0.382,0.0,0.366,0.595,121.97,audio_features,0aAR5HogGoT68EWFbyRFqx,spotify:track:0aAR5HogGoT68EWFbyRFqx,https://api.spotify.com/v1/tracks/0aAR5HogGoT68EWFbyRFqx,https://api.spotify.com/v1/audio-analysis/0aAR5HogGoT68EWFbyRFqx,244533,4
26,"Maniac - From ""Flashdance""",Michael Sembello,2019-09-06,False,spotify:track:7CML07e8m56LrmgkC4Bl3Z,17,12177422298,https://open.spotify.com/track/7CML07e8m56LrmgkC4Bl3Z,771qBvjnXOH9Azr6lKy6FB,0.605,0.757,3,-5.897,0,0.0554,0.0396,2.6e-06,0.0447,0.828,157.714,audio_features,7CML07e8m56LrmgkC4Bl3Z,spotify:track:7CML07e8m56LrmgkC4Bl3Z,https://api.spotify.com/v1/tracks/7CML07e8m56LrmgkC4Bl3Z,https://api.spotify.com/v1/audio-analysis/7CML07e8m56LrmgkC4Bl3Z,246000,4
27,Maneater,Daryl Hall & John Oates,1982-10-04,False,spotify:track:7j74lucZ59vqN67Ipe2ZcY,77,12177422298,https://open.spotify.com/track/7j74lucZ59vqN67Ipe2ZcY,77tT1kLj6mCWtFNqiOmP9H,0.724,0.498,11,-13.083,0,0.0423,0.0405,8.56e-05,0.0761,0.823,88.825,audio_features,7j74lucZ59vqN67Ipe2ZcY,spotify:track:7j74lucZ59vqN67Ipe2ZcY,https://api.spotify.com/v1/tracks/7j74lucZ59vqN67Ipe2ZcY,https://api.spotify.com/v1/audio-analysis/7j74lucZ59vqN67Ipe2ZcY,273173,4
28,Heaven,Bryan Adams,1984-11-05,False,spotify:track:3wgzAliQocAzmpi5dEwRqJ,50,12177422298,https://open.spotify.com/track/3wgzAliQocAzmpi5dEwRqJ,3Z02hBLubJxuFJfhacLSDc,0.394,0.398,9,-13.874,0,0.0262,0.0492,0.0,0.115,0.357,69.979,audio_features,3wgzAliQocAzmpi5dEwRqJ,spotify:track:3wgzAliQocAzmpi5dEwRqJ,https://api.spotify.com/v1/tracks/3wgzAliQocAzmpi5dEwRqJ,https://api.spotify.com/v1/audio-analysis/3wgzAliQocAzmpi5dEwRqJ,243693,4
