,artist_name,album_name,release_date,total_tracks
9,Thalia,Habítame Siempre Edición Especial,2013-08-27,17
10,Thalia,Habítame Siempre,2013-02-08,13
12,Thalia,Habítame Siempre (Bonus Tracks Version),2012-11-19,15
13,Thalia,Thalia En Primera Fila... Un Año Después,2010-09-27,17
14,Thalia,Thalia En Primera Fila,2009-11-30,14
17,Thalia,Lunada,2008-01-01,11
18,Thalia,El Sexto Sentido,2005-01-01,17
0,Azucar Moreno,El Secreto,2020-09-04,9
2,Azucar Moreno,Esencial Azucar Moreno,2014-06-16,34
3,Azucar Moreno,Bailando Con Lola,2006-04-04,11
4,Azucar Moreno,Desde El Principio,2003-12-01,13
5,Azucar Moreno,Unicas,2001-10-22,11
7,Azucar Moreno,Hazme El Amor,2000-10-23,10
8,Azucar Moreno,Sólo Azúcar,2000-10-23,10
9,Azucar Moreno,Ven Devórame Otra Vez,2000-10-23,10
10,Azucar Moreno,Piel De Seda,2000-07-10,8
11,Azucar Moreno,Amén,2000-04-06,13
12,Azucar Moreno,Olé,1998-09-21,12
13,Azucar Moreno,Esclava De Tu Piel,1996-05-06,11
14,Azucar Moreno,El Amor,1994-06-20,13
15,Azucar Moreno,Ojos Negros,1992-10-19,10
16,Azucar Moreno,Mambo,1991-03-03,14
17,Azucar Moreno,Bandido,1990,10
18,Azucar Moreno,Estimúlame,1986,10
19,Azucar Moreno,Con La Miel En Los Labios,1984,10
0,Elvis Crespo,Live From Orlando,2023-01-25,11
1,Elvis Crespo,Multitudes,2021-11-24,12
2,Elvis Crespo,Regresó El Jefe 2.0,2021-09-03,13
3,Elvis Crespo,Elvis Crespo Live From Chile,2020-05-08,15
4,Elvis Crespo,Suavemente 20Th Anniversary,2019-04-11,10
5,Elvis Crespo,Diomedizao,2018-09-27,8
6,Elvis Crespo,Saboréalo,2017-09-14,12
7,Elvis Crespo,Indestructible,2016,11
8,Elvis Crespo,Tatuaje,2015-07-07,13
10,Elvis Crespo,One Flag,2013,12
11,Elvis Crespo,Los Monsters,2012,12
12,Elvis Crespo,Mis Favoritas,2010-08-03,14
13,Elvis Crespo,Tribute To A King (Live),2009-01-20,11
14,Elvis Crespo,Live From Las Vegas,2009-01-01,11
15,Elvis Crespo,Suavemente...Los Exitos,2008-10-14,16
16,Elvis Crespo,Regresó El Jefe,2007-01-01,13
18,Elvis Crespo,Urbano,2002-05-27,14
0,Carlos Vives,Escalona Nunca Se Había Grabado Así,2023-04-18,13
1,Carlos Vives,El Club De Los Graves (Banda Sonora Original),2023-02-22,12
2,Carlos Vives,Cumbiana Ii,2022-05-13,14
3,Carlos Vives,"Kogi Sessions, Vol. 1 (Cumbiana Remixes)",2021-08-09,14
4,Carlos Vives,Cumbiana,2020-05-22,10
5,Carlos Vives,Vives,2017-11-10,18
6,Carlos Vives,Carlos Vives + Amigos Desde El Estadio El Campín De Bogotá,2016-12-09,16
7,Carlos Vives,Más + Corazón Profundo Tour: En Vivo Desde La Bahía De Santa Marta,2015-08-07,15
8,Carlos Vives,Spotify Sessions,2014-12-02,5
9,Carlos Vives,Más + Corazón Profundo,2014-05-13,14
10,Carlos Vives,Corazón Profundo,2013-04-21,11
11,Carlos Vives,Corazón Profundo (Versión Deluxe),2013-04-21,16
12,Carlos Vives,Clasicos De La Provincia Ii,2009-09-29,15
13,Carlos Vives,El Rock De Mi Pueblo,2004-08-31,12
15,Carlos Vives,Coleccion De Oro,2002-06-18,15
16,Carlos Vives,Dejame Entrar,2001-11-06,11
18,Carlos Vives,El Amor De Mi Tierra,1999-10-19,11
0,Los Del Rio,Mi Gitana,2022-12-12,10
1,Los Del Rio,Así Fue: Mis Mejores Canciones,2020-07-03,20
2,Los Del Rio,Viva Triana,2018-12-28,20
3,Los Del Rio,Los Del Río Tropical,2017-05-19,11
4,Los Hermanos Reyes,Idolos Del Pueblo,2014-12-12,39
5,Los Del Rio,Retrato A Sevilla (Rumbas Y Sevillanas),2013-02-01,14
6,Los Del Rio,Vamonos Que Nos Vamos,2012-04-17,12
7,Los Del Rio,Yo Quise A Una Morena,2010-04-12,12
8,Los Del Rio,Los Del Río,2010-01-19,24
9,Los Del Rio,Quinceañera Macarena,2008-11-18,10
10,Los Del Rio,P'Alante,2004-01-01,11
11,Los Del Rio,Rio De Sevillanas,2003-01-01,10
12,Los Del Rio,Alegria Y Cosabuena,2001-03-19,15
14,Los Del Rio,Baila (Remasterizado 2022),1999,11
15,Los Del Rio,Viva El Verano (Remasterizado 2022),1998,10
16,Los Del Rio,Colores,1997-05-11,11
17,Los Del Rio,Las Rumbas De Los Del Rio,1996-09-12,16
18,Los Del Rio,Fiesta Macarena,1996-04-29,14
0,Rafaga,Señales,2022-07-08,10
1,Rafaga,El Regreso,2019-05-24,22
2,Rafaga,Ráfaga En Vivo En El Estadio Chile,2016-07-20,21
3,Rafaga,Una Cerveza,2016-01-20,10
4,Rafaga,"El Vivo, En España",2011,13
5,Rafaga,Megamix,2008,24
6,Rafaga,Dueños Del Viento,2006,12
7,Rafaga,Soplando Fuerte / Un Fenómeno Natural,2005,22
8,Rafaga,Vuela,2004-04-04,10
10,Rafaga,Marca Registrada,2002,13
11,Rafaga,Imparables,1999,10
12,Maria Becerra,Adiós (Live Version),2023-03-30,1
13,Rafaga,Cómo Le Gusta,2022-07-12,1
14,El Nikko DJ,La Luna Y Tú (El Nikko Dj Remix),2021-07-15,1
15,Rafaga,Mentirosa (Aleta Rmx Remix),2020-09-17,1
16,Rafaga,Volver A Empezar,2020-05-29,1
17,Rafaga,Resistiré,2020-05-15,1
18,Rafaga,Vete De Mi Lado,2020-05-08,1
0,Gloria Estefan,Estefan Family Christmas,2022-10-13,17
1,Gloria Estefan,Brazil305,2020-08-13,18
2,Gloria Estefan,The Standards,2013-09-10,15
5,Gloria Estefan,Miss Little Havanna (Bonus Track),2011-10-18,15
6,Gloria Estefan,Miss Little Havana,2011-10-18,13
7,Gloria Estefan,Miss Little Havana (Latin America/Iberia Version),2011-01-01,13
8,Gloria Estefan,90 Millas,2007-09-24,16
12,Gloria Estefan,Unwrapped,2003-09-22,14
13,Gloria Estefan,Alma Caribeña,2000-05-12,13
15,Gloria Estefan,Cuba Libre,1998-11-09,3
16,Gloria Estefan,Don'T Let This Moment End,1998-11-03,23
17,Gloria Estefan,Gloria!,1998-06-02,16
19,Gloria Estefan,Heaven'S What I Feel,1998-05-05,18
0,Ricky Martin,Pausa (Headphone Mix),2020-07-30,7
1,Ricky Martin,A Quien Quiera Escuchar: Track By Track,2015-02-24,11
2,Ricky Martin,A Quien Quiera Escuchar,2015-02-10,13
3,Ricky Martin,A Quien Quiera Escuchar (Deluxe Edition),2015-02-10,13
4,Ricky Martin,Vida,2015-02-03,10
5,Ricky Martin,Más Música + Alma + Sexo,2011-11-15,23
6,Ricky Martin,Ricky Martin... Live Black & White Tour,2007-11-01,10
7,Ricky Martin,Ricky Martin Mtv Unplugged,2006-11-01,12
8,Ricky Martin,Life,2005-10-11,13
9,Ricky Martin,Almas Del Silencio,2003-04-21,13
10,Ricky Martin,Sound Loaded,2000-10-18,15
12,Ricky Martin,Ricky Martin,1999,14
13,Ricky Martin,Vuelve,1998-02-10,14
14,Ricky Martin,A Medio Vivir,1995-09-12,12
15,Ricky Martin,Me Amaras,1993-04-13,10
17,Ricky Martin,Play,2022-07-13,6
18,Ricky Martin,Ácido Sabor,2022-07-13,1
19,Ricky Martin,Play (Orbital Audio),2022-07-11,6
0,Nek,5030,2022-12-02,10
1,Nek,Il Mio Gioco Preferito (Parte Seconda),2020-05-29,10
2,Nek,Il Mio Gioco Preferito (Parte Prima),2019-05-10,7
