,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
27,Ordinary World,Duran Duran,1993-02-15,False,spotify:track:0wokCRaKD0zPNhMRXAgVsr,75,williamdzn,https://open.spotify.com/track/0wokCRaKD0zPNhMRXAgVsr,0lZoBs4Pzo7R89JM9lxwoT,0.472,0.652,1,-10.171,0,0.0305,0.0131,1.12e-05,0.14,0.401,140.124,audio_features,0wokCRaKD0zPNhMRXAgVsr,spotify:track:0wokCRaKD0zPNhMRXAgVsr,https://api.spotify.com/v1/tracks/0wokCRaKD0zPNhMRXAgVsr,https://api.spotify.com/v1/audio-analysis/0wokCRaKD0zPNhMRXAgVsr,340200,4
28,Don't Speak,No Doubt,1995-10-10,False,spotify:track:5PsUB0ISfQxRLhF5DmI5Ks,0,williamdzn,https://open.spotify.com/track/5PsUB0ISfQxRLhF5DmI5Ks,0cQbJU1aAzvbEmTuljWLlF,0.522,0.707,5,-7.113,0,0.0354,0.24,2.04e-05,0.156,0.572,76.05,audio_features,5PsUB0ISfQxRLhF5DmI5Ks,spotify:track:5PsUB0ISfQxRLhF5DmI5Ks,https://api.spotify.com/v1/tracks/5PsUB0ISfQxRLhF5DmI5Ks,https://api.spotify.com/v1/audio-analysis/5PsUB0ISfQxRLhF5DmI5Ks,263000,4
29,7 Seconds (feat. Neneh Cherry),Youssou N'Dour,1994-05-16,False,spotify:track:4sv1iemiMkkZVTUbV16C8L,62,williamdzn,https://open.spotify.com/track/4sv1iemiMkkZVTUbV16C8L,77zlytAFjPFjUKda8TNIDY,0.679,0.659,1,-10.826,0,0.0269,0.0771,4.12e-06,0.316,0.528,154.171,audio_features,4sv1iemiMkkZVTUbV16C8L,spotify:track:4sv1iemiMkkZVTUbV16C8L,https://api.spotify.com/v1/tracks/4sv1iemiMkkZVTUbV16C8L,https://api.spotify.com/v1/audio-analysis/4sv1iemiMkkZVTUbV16C8L,306227,4
29,7 Seconds (feat. Neneh Cherry),Youssou N'Dour,1994-05-16,False,spotify:track:4sv1iemiMkkZVTUbV16C8L,62,williamdzn,https://open.spotify.com/track/4sv1iemiMkkZVTUbV16C8L,3JxCEqL9zjKnDJgUhRuRJD,0.679,0.659,1,-10.826,0,0.0269,0.0771,4.12e-06,0.316,0.528,154.171,audio_features,4sv1iemiMkkZVTUbV16C8L,spotify:track:4sv1iemiMkkZVTUbV16C8L,https://api.spotify.com/v1/tracks/4sv1iemiMkkZVTUbV16C8L,https://api.spotify.com/v1/audio-analysis/4sv1iemiMkkZVTUbV16C8L,306227,4
29,7 Seconds (feat. Neneh Cherry),Neneh Cherry,1994-05-16,False,spotify:track:4sv1iemiMkkZVTUbV16C8L,62,williamdzn,https://open.spotify.com/track/4sv1iemiMkkZVTUbV16C8L,77zlytAFjPFjUKda8TNIDY,0.679,0.659,1,-10.826,0,0.0269,0.0771,4.12e-06,0.316,0.528,154.171,audio_features,4sv1iemiMkkZVTUbV16C8L,spotify:track:4sv1iemiMkkZVTUbV16C8L,https://api.spotify.com/v1/tracks/4sv1iemiMkkZVTUbV16C8L,https://api.spotify.com/v1/audio-analysis/4sv1iemiMkkZVTUbV16C8L,306227,4
29,7 Seconds (feat. Neneh Cherry),Neneh Cherry,1994-05-16,False,spotify:track:4sv1iemiMkkZVTUbV16C8L,62,williamdzn,https://open.spotify.com/track/4sv1iemiMkkZVTUbV16C8L,3JxCEqL9zjKnDJgUhRuRJD,0.679,0.659,1,-10.826,0,0.0269,0.0771,4.12e-06,0.316,0.528,154.171,audio_features,4sv1iemiMkkZVTUbV16C8L,spotify:track:4sv1iemiMkkZVTUbV16C8L,https://api.spotify.com/v1/tracks/4sv1iemiMkkZVTUbV16C8L,https://api.spotify.com/v1/audio-analysis/4sv1iemiMkkZVTUbV16C8L,306227,4
30,Return To Innocence,Enigma,1993-01-01,False,spotify:track:2UKkLqST2xWpK8n1b0Xr5Z,67,williamdzn,https://open.spotify.com/track/2UKkLqST2xWpK8n1b0Xr5Z,3DmG65yHQsMms7WAvrZOdt,0.476,0.584,10,-12.357,1,0.038,0.119,0.0,0.274,0.417,88.026,audio_features,2UKkLqST2xWpK8n1b0Xr5Z,spotify:track:2UKkLqST2xWpK8n1b0Xr5Z,https://api.spotify.com/v1/tracks/2UKkLqST2xWpK8n1b0Xr5Z,https://api.spotify.com/v1/audio-analysis/2UKkLqST2xWpK8n1b0Xr5Z,255467,4
31,I Love Your Smile,Shanice,1991-11-19,False,spotify:track:69mFxANpGyq9s69LqH3d9G,62,williamdzn,https://open.spotify.com/track/69mFxANpGyq9s69LqH3d9G,0Ttph0pOZiPNTD3y2wUUb6,0.722,0.842,5,-8.745,0,0.126,0.00955,8.45e-06,0.178,0.751,93.954,audio_features,69mFxANpGyq9s69LqH3d9G,spotify:track:69mFxANpGyq9s69LqH3d9G,https://api.spotify.com/v1/tracks/69mFxANpGyq9s69LqH3d9G,https://api.spotify.com/v1/audio-analysis/69mFxANpGyq9s69LqH3d9G,257973,4
32,Life,Des'ree,1998-06-29,False,spotify:track:5LGqFIVBf3ZUeFBpc87CFS,67,williamdzn,https://open.spotify.com/track/5LGqFIVBf3ZUeFBpc87CFS,73ZPfpfg1LBVvDEArK4l5B,0.721,0.74,1,-5.453,1,0.0413,0.113,4.07e-05,0.0847,0.716,104.812,audio_features,5LGqFIVBf3ZUeFBpc87CFS,spotify:track:5LGqFIVBf3ZUeFBpc87CFS,https://api.spotify.com/v1/tracks/5LGqFIVBf3ZUeFBpc87CFS,https://api.spotify.com/v1/audio-analysis/5LGqFIVBf3ZUeFBpc87CFS,216040,4
33,Crazy,Seal,1991-06-11,False,spotify:track:10tdqQKFhddpkjzxllTVRj,56,williamdzn,https://open.spotify.com/track/10tdqQKFhddpkjzxllTVRj,5GtMEZEeFFsuHY8ad4kOxv,0.633,0.846,4,-6.744,0,0.0426,0.408,0.00341,0.11,0.899,102.871,audio_features,10tdqQKFhddpkjzxllTVRj,spotify:track:10tdqQKFhddpkjzxllTVRj,https://api.spotify.com/v1/tracks/10tdqQKFhddpkjzxllTVRj,https://api.spotify.com/v1/audio-analysis/10tdqQKFhddpkjzxllTVRj,268040,4
