song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Living On Video,Trans-X,1986,False,spotify:track:1sySpMud8bvFU9SVfcrzrc,42,12177422298,https://open.spotify.com/track/1sySpMud8bvFU9SVfcrzrc,4JyfkCTV9FO5Yipee3f9EI,0.7,0.649,7,-9.981,0,0.0331,0.000108,0.67,0.0858,0.965,131.056,audio_features,1sySpMud8bvFU9SVfcrzrc,spotify:track:1sySpMud8bvFU9SVfcrzrc,https://api.spotify.com/v1/tracks/1sySpMud8bvFU9SVfcrzrc,https://api.spotify.com/v1/audio-analysis/1sySpMud8bvFU9SVfcrzrc,354333,4
Rivers of Babylon,Boney M.,1978,False,spotify:track:78His8pbKjbDQF7aX5asgv,70,12177422298,https://open.spotify.com/track/78His8pbKjbDQF7aX5asgv,54R6Y0I7jGUCveDTtI21nb,0.729,0.851,7,-7.033,1,0.0362,0.13,0.000912,0.443,0.741,115.118,audio_features,78His8pbKjbDQF7aX5asgv,spotify:track:78His8pbKjbDQF7aX5asgv,https://api.spotify.com/v1/tracks/78His8pbKjbDQF7aX5asgv,https://api.spotify.com/v1/audio-analysis/78His8pbKjbDQF7aX5asgv,261267,4
On The Radio,Donna Summer,1979-10-15,False,spotify:track:41v23mPw4Se92JKUGvnkmW,63,12177422298,https://open.spotify.com/track/41v23mPw4Se92JKUGvnkmW,2eogQKWWoohI3BSnoG7E2U,0.734,0.45,4,-13.92,0,0.035,0.113,1.13e-05,0.296,0.595,127.46,audio_features,41v23mPw4Se92JKUGvnkmW,spotify:track:41v23mPw4Se92JKUGvnkmW,https://api.spotify.com/v1/tracks/41v23mPw4Se92JKUGvnkmW,https://api.spotify.com/v1/audio-analysis/41v23mPw4Se92JKUGvnkmW,241507,4
Your Love - Radio Edit,Lime,1981,False,spotify:track:0wgXzjgHh13xFz9S92SZpN,58,12177422298,https://open.spotify.com/track/0wgXzjgHh13xFz9S92SZpN,5ANLE2tGUU9A9w2iqUPlSD,0.771,0.752,0,-8.49,0,0.0378,0.00213,0.713,0.0414,0.752,138.161,audio_features,0wgXzjgHh13xFz9S92SZpN,spotify:track:0wgXzjgHh13xFz9S92SZpN,https://api.spotify.com/v1/tracks/0wgXzjgHh13xFz9S92SZpN,https://api.spotify.com/v1/audio-analysis/0wgXzjgHh13xFz9S92SZpN,242733,4
You Should Be Dancing,Bee Gees,1976-01-01,False,spotify:track:2xiOdusRnZezQok1RgLNeS,70,12177422298,https://open.spotify.com/track/2xiOdusRnZezQok1RgLNeS,1LZEQNv7sE11VDY3SdxQeN,0.681,0.716,0,-10.911,1,0.0333,0.0182,0.17,0.337,0.963,123.009,audio_features,2xiOdusRnZezQok1RgLNeS,spotify:track:2xiOdusRnZezQok1RgLNeS,https://api.spotify.com/v1/tracks/2xiOdusRnZezQok1RgLNeS,https://api.spotify.com/v1/audio-analysis/2xiOdusRnZezQok1RgLNeS,256493,4
Dancing Queen,ABBA,1976,False,spotify:track:4NtUY5IGzHCaqfZemmAu56,0,12177422298,https://open.spotify.com/track/4NtUY5IGzHCaqfZemmAu56,0LcJLqbBmaGUft1e9Mm8HV,0.539,0.884,9,-6.53,1,0.0403,0.382,0.00166,0.76,0.752,100.812,audio_features,4NtUY5IGzHCaqfZemmAu56,spotify:track:4NtUY5IGzHCaqfZemmAu56,https://api.spotify.com/v1/tracks/4NtUY5IGzHCaqfZemmAu56,https://api.spotify.com/v1/audio-analysis/4NtUY5IGzHCaqfZemmAu56,230693,4
Love Is In The Air,John Paul Young,2009-09-18,False,spotify:track:3c4OULLWwgRqBfA2dJtRuY,69,12177422298,https://open.spotify.com/track/3c4OULLWwgRqBfA2dJtRuY,2wMcQIxzH2LYHJZNxo9FcN,0.557,0.791,0,-7.201,1,0.0389,0.0254,0.000269,0.0603,0.89,122.337,audio_features,3c4OULLWwgRqBfA2dJtRuY,spotify:track:3c4OULLWwgRqBfA2dJtRuY,https://api.spotify.com/v1/tracks/3c4OULLWwgRqBfA2dJtRuY,https://api.spotify.com/v1/audio-analysis/3c4OULLWwgRqBfA2dJtRuY,210293,4
I Want To Break Free - Remastered 2011,Queen,1984-02-27,False,spotify:track:1MsBRSbt5dqJSw3RxXtvCM,73,12177422298,https://open.spotify.com/track/1MsBRSbt5dqJSw3RxXtvCM,1dfeR4HaWDbWqFHLkxsg1d,0.875,0.407,4,-10.505,1,0.0376,0.0769,0.000785,0.116,0.777,109.088,audio_features,1MsBRSbt5dqJSw3RxXtvCM,spotify:track:1MsBRSbt5dqJSw3RxXtvCM,https://api.spotify.com/v1/tracks/1MsBRSbt5dqJSw3RxXtvCM,https://api.spotify.com/v1/audio-analysis/1MsBRSbt5dqJSw3RxXtvCM,198773,4
What's Up?,4 Non Blondes,1992-01-01,False,spotify:track:0jWgAnTrNZmOGmqgvHhZEm,82,12177422298,https://open.spotify.com/track/0jWgAnTrNZmOGmqgvHhZEm,0Je74SitssvJg1w4Ra2EK7,0.565,0.564,2,-10.044,1,0.0292,0.161,0.0,0.114,0.454,134.355,audio_features,0jWgAnTrNZmOGmqgvHhZEm,spotify:track:0jWgAnTrNZmOGmqgvHhZEm,https://api.spotify.com/v1/tracks/0jWgAnTrNZmOGmqgvHhZEm,https://api.spotify.com/v1/audio-analysis/0jWgAnTrNZmOGmqgvHhZEm,295533,4
If I Can't Have You,Yvonne Elliman,1997-01-01,False,spotify:track:0QjPiq9Wka9I1b4uzWETYI,59,12177422298,https://open.spotify.com/track/0QjPiq9Wka9I1b4uzWETYI,2d6JU9LvNhZR7AAtu4x2rS,0.616,0.681,11,-10.773,1,0.0416,0.102,1.47e-06,0.296,0.811,109.454,audio_features,0QjPiq9Wka9I1b4uzWETYI,spotify:track:0QjPiq9Wka9I1b4uzWETYI,https://api.spotify.com/v1/tracks/0QjPiq9Wka9I1b4uzWETYI,https://api.spotify.com/v1/audio-analysis/0QjPiq9Wka9I1b4uzWETYI,180160,4
