,artist_name,artist_id,followers,genres,popularity
0,Procol Harum,0GbqW5TJr7n4is453VOY4C,406284,"['album rock', 'art rock', 'blues rock', 'british blues', 'british invasion', 'classic rock', 'folk rock', 'mellow gold', 'progressive rock', 'psychedelic rock', 'singer-songwriter', 'symphonic rock']",52
0,Eagles,0ECwFtbIWEVNwjlrfc6xoL,9395144,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",76
0,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,43537892,"['permanent wave', 'pop']",89
0,Harry Styles,6KImCVD70vtIoJWnq6nGn3,27181407,['pop'],89
0,Queen,1dfeR4HaWDbWqFHLkxsg1d,46312898,"['classic rock', 'glam rock', 'rock']",85
0,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,9349272,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",78
0,Enigma,3DmG65yHQsMms7WAvrZOdt,773523,"['downtempo', 'gregorian dance']",62
0,Yanni,72qxDp6R6v22pai96pZioz,450696,['new age'],59
0,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,6733932,"['disco', 'soft rock']",77
0,Captain & Tennille,7BEfMxbaqx6dOpbtlEqScm,424400,"['mellow gold', 'soft rock', 'yacht rock']",54
0,DJ Khalid,5Jzy4kcxChcbcL2Z6QQRUI,20799,['bachata'],45
0,Yogo,4xNsQdijozmgbPsOtBZ5XH,76,[],21
0,Mike + The Mechanics,2yTUYhIf8fxptTIy3KLuJD,618478,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",59
0,Sam Smith,2wY79sveU1sp5g7SokKOiI,22371520,"['pop', 'uk pop']",87
0,Normani,2cWZOOzeOm4WmBJRnD5R7I,2369230,"['pop', 'r&b']",69
0,Youssou N'Dour,77zlytAFjPFjUKda8TNIDY,194953,"['afropop', 'mbalax', 'world']",52
0,Neneh Cherry,3JxCEqL9zjKnDJgUhRuRJD,149599,"['new wave pop', 'urban contemporary']",52
0,Sting,0Ty63ceoRnnJKVEYP0VQpk,2928162,"['permanent wave', 'soft rock', 'sophisti-pop']",71
0,Craig David,2JyWXPbkqI5ZJa3gwqVa0c,841012,['british soul'],65
0,Iyeoka,2gJiBZCUPgMDAqtqYtgJwA,47717,[],41
0,Israel Kamakawiwo'ole,4ogvuDRerGhZfSf7TtzHlr,465245,['hawaiian'],62
0,Tanita Tikaram,2gTl60Ao3u7bljVnAqxPh8,131635,['new wave pop'],49
0,Robert Plant,1OwarW4LEHnoep20ixRA0y,1022131,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'uk americana']",57
0,My Morning Jacket,43O3c6wewpzPKwVaGEEtBM,517242,"['chamber pop', 'indie rock', 'jam band', 'louisville indie', 'melancholia', 'roots rock', 'stomp and holler']",55
0,Venus,740RmvL1WrYBT3Ii8ZX5LO,4809,['belgian indie'],23
0,Woodkid,44TGR1CzjKBxSHsSEy7bi9,740727,['chamber pop'],61
0,The Moody Blues,5BcZ22XONcRoLhTbZRuME1,1205985,"['album rock', 'art rock', 'british invasion', 'classic rock', 'country rock', 'flute rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'singer-songwriter', 'soft rock', 'symphonic rock']",59
0,Roger Hodgson,3lHXm91pKLq9Sxi6CoRKWu,246905,"['art rock', 'progressive rock', 'symphonic rock']",43
